x,y,luminosity,error,T,v
574.63,853.84,954.72,3.2334,22.0,9.0
572.61,829.63,34.1289,2.67572,22.0,9.0
500.47,813.38,375.795,3.1635,22.0,9.0
1138.46,649.6,64.1156,2.55244,22.0,9.0
370.69,506.93,198.815,3.13815,22.0,9.0
385.84,493.9,24.0404,2.74855,22.0,9.0
1402.25,474.52,104.238,3.0218,22.0,9.0
297.13,458.12,68.2134,3.01752,22.0,9.0
1327.94,314.16,54.7852,2.94468,22.0,9.0
1497.11,263.51,49.6648,2.74367,22.0,9.0
1205.38,226.35,21.0454,2.80482,22.0,9.0
1078.83,182.34,273.22,3.70526,22.0,9.0
1809.06,174.74,116.49,2.87405,22.0,9.0
1060.22,177.69,23.7974,2.97652,22.0,9.0
684,69.28,134.191,3.00254,22.0,9.0
844.59,70.54,32.1578,3.17524,22.0,9.0
