x,y,luminosity,error,T,v,spot
297.13,458.12,44.4379,2.97355,16.0,9.0,0
297.13,458.12,53.7516,2.94173,18.0,9.0,0
297.13,458.12,59.1833,3.05596,20.0,9.0,0
297.13,458.12,68.2134,3.01752,22.0,9.0,0
297.13,458.12,73.8864,3.00845,24.0,9.0,0
370.69,506.93,141.152,3.04544,16.0,9.0,1
370.69,506.93,155.735,3.10659,18.0,9.0,1
370.69,506.93,175.592,3.05883,20.0,9.0,1
370.69,506.93,198.815,3.13815,22.0,9.0,1
370.69,506.93,230.986,3.21215,24.0,9.0,1
385.84,493.9,15.9795,2.72338,16.0,9.0,2
385.84,493.9,14.4136,2.7816,18.0,9.0,2
385.84,493.9,20.0163,2.76491,20.0,9.0,2
385.84,493.9,24.0404,2.74855,22.0,9.0,2
385.84,493.9,28.1123,2.7159,24.0,9.0,2
500.47,813.38,246.574,3.00208,16.0,9.0,3
500.47,813.38,277.171,3.07238,18.0,9.0,3
500.47,813.38,324.923,3.18225,20.0,9.0,3
500.47,813.38,375.795,3.1635,22.0,9.0,3
500.47,813.38,422.966,3.07827,24.0,9.0,3
572.61,829.63,26.7907,2.69852,16.0,9.0,4
572.61,829.63,27.0666,2.72815,18.0,9.0,4
572.61,829.63,30.6948,2.71462,20.0,9.0,4
572.61,829.63,34.1289,2.67572,22.0,9.0,4
572.61,829.63,39.4816,2.67072,24.0,9.0,4
574.63,853.84,636.213,3.14729,16.0,9.0,5
574.63,853.84,731.826,3.11548,18.0,9.0,5
574.63,853.84,842.262,3.25113,20.0,9.0,5
574.63,853.84,954.72,3.2334,22.0,9.0,5
574.63,853.84,1075.36,3.23682,24.0,9.0,5
684.0,69.28,88.927,2.95535,16.0,9.0,6
684.0,69.28,99.3791,2.97688,18.0,9.0,6
684.0,69.28,115.903,3.10512,20.0,9.0,6
684.0,69.28,134.191,3.00254,22.0,9.0,6
684.0,69.28,147.529,2.99155,24.0,9.0,6
844.59,70.54,35.1188,3.20582,16.0,9.0,7
844.59,70.54,37.1524,3.0336,18.0,9.0,7
844.59,70.54,39.9772,3.21279,20.0,9.0,7
844.59,70.54,32.1578,3.17524,22.0,9.0,7
844.59,70.54,44.0858,3.14767,24.0,9.0,7
1060.22,177.69,18.9832,2.91014,16.0,9.0,8
1060.22,177.69,15.8803,2.86064,18.0,9.0,8
1060.22,177.69,20.6764,2.93715,20.0,9.0,8
1060.22,177.69,23.7974,2.97652,22.0,9.0,8
1060.22,177.69,24.8454,2.87289,24.0,9.0,8
1078.83,182.34,188.633,3.50287,16.0,9.0,9
1078.83,182.34,222.323,3.56066,18.0,9.0,9
1078.83,182.34,250.238,3.56039,20.0,9.0,9
1078.83,182.34,273.22,3.70526,22.0,9.0,9
1078.83,182.34,309.117,3.85059,24.0,9.0,9
1138.46,649.6,43.9637,2.55014,16.0,9.0,10
1138.46,649.6,52.0788,2.61,18.0,9.0,10
1138.46,649.6,59.9701,2.54736,20.0,9.0,10
1138.46,649.6,64.1156,2.55244,22.0,9.0,10
1138.46,649.6,82.676,2.5702,24.0,9.0,10
1205.38,226.35,15.2662,2.81272,16.0,9.0,11
1205.38,226.35,17.1649,2.79953,18.0,9.0,11
1205.38,226.35,17.8259,2.89339,20.0,9.0,11
1205.38,226.35,21.0454,2.80482,22.0,9.0,11
1205.38,226.35,27.6158,2.73345,24.0,9.0,11
1327.94,314.16,37.4988,2.86107,16.0,9.0,12
1327.94,314.16,40.6086,2.92853,18.0,9.0,12
1327.94,314.16,48.5066,2.90252,20.0,9.0,12
1327.94,314.16,54.7852,2.94468,22.0,9.0,12
1327.94,314.16,61.054,2.97033,24.0,9.0,12
1402.25,474.52,71.3893,3.01908,16.0,9.0,13
1402.25,474.52,79.7576,2.96454,18.0,9.0,13
1402.25,474.52,87.1528,3.10412,20.0,9.0,13
1402.25,474.52,104.238,3.0218,22.0,9.0,13
1402.25,474.52,116.016,3.00435,24.0,9.0,13
1497.11,263.51,30.283,2.6754,16.0,9.0,14
1497.11,263.51,36.336,2.65194,18.0,9.0,14
1497.11,263.51,40.8271,2.71447,20.0,9.0,14
1497.11,263.51,49.6648,2.74367,22.0,9.0,14
1497.11,263.51,54.9072,2.70131,24.0,9.0,14
1809.06,174.74,83.6324,2.84823,16.0,9.0,15
1809.06,174.74,94.092,2.87495,18.0,9.0,15
1809.06,174.74,107.516,2.86059,20.0,9.0,15
1809.06,174.74,116.49,2.87405,22.0,9.0,15
1809.06,174.74,129.989,2.88326,24.0,9.0,15
