x,y,luminosity,error,T,v,spot,v_fin
297.71,457.56,2.03403,2.85918,20.0,53.3,0,2.0
297.71,457.56,6.20728,2.8276,20.0,55.3,0,4.0
297.71,457.56,15.018,2.78586,20.0,57.3,0,6.0
297.71,457.56,36.5746,2.80294,20.0,59.3,0,8.0
369.85,505.8,11.8671,2.89648,20.0,53.3,1,2.0
369.85,505.8,33.9022,2.91517,20.0,55.3,1,4.0
369.85,505.8,68.1241,2.93069,20.0,57.3,1,6.0
369.85,505.8,117.641,3.02225,20.0,59.3,1,8.0
501.74,811.38,23.5684,3.02018,20.0,53.3,2,2.0
501.74,811.38,70.2523,3.07404,20.0,55.3,2,4.0
501.74,811.38,134.186,3.05687,20.0,57.3,2,6.0
501.74,811.38,219.015,3.14164,20.0,59.3,2,8.0
574.74,851.93,32.8217,2.85198,20.0,53.3,3,2.0
574.74,851.93,127.294,2.93325,20.0,55.3,3,4.0
574.74,851.93,282.867,3.16625,20.0,57.3,3,6.0
574.74,851.93,566.542,3.03862,20.0,59.3,3,8.0
681.78,68.91,3.7348,2.97484,20.0,53.3,4,2.0
681.78,68.91,17.6556,2.92171,20.0,55.3,4,4.0
681.78,68.91,33.3061,3.1433,20.0,57.3,4,6.0
681.78,68.91,73.8639,3.02566,20.0,59.3,4,8.0
844.65,69.6,4.60116,3.0905,20.0,53.3,5,2.0
844.65,69.6,3.32115,3.0428,20.0,55.3,5,4.0
844.65,69.6,8.35409,3.19468,20.0,57.3,5,6.0
844.65,69.6,19.3296,3.17278,20.0,59.3,5,8.0
1077.83,181.82,7.20565,3.6815,20.0,53.3,6,2.0
1077.83,181.82,21.3498,3.62708,20.0,55.3,6,4.0
1077.83,181.82,55.1393,3.58941,20.0,57.3,6,6.0
1077.83,181.82,139.965,3.64127,20.0,59.3,6,8.0
1140.95,646.74,3.14573,2.48979,20.0,53.3,7,2.0
1140.95,646.74,5.30469,2.43267,20.0,55.3,7,4.0
1140.95,646.74,23.7371,2.44075,20.0,57.3,7,6.0
1140.95,646.74,35.5208,2.55437,20.0,59.3,7,8.0
1329.5,312.47,2.80401,2.837,20.0,53.3,8,2.0
1329.5,312.47,6.76135,2.72754,20.0,55.3,8,4.0
1329.5,312.47,17.0162,2.80261,20.0,57.3,8,6.0
1329.5,312.47,34.0661,2.73196,20.0,59.3,8,8.0
1404.79,475.08,7.42168,2.88882,20.0,53.3,9,2.0
1404.79,475.08,13.4607,2.86882,20.0,55.3,9,4.0
1404.79,475.08,32.3451,2.87173,20.0,57.3,9,6.0
1404.79,475.08,56.5965,2.91487,20.0,59.3,9,8.0
1498.07,262.0,0.954118,2.68779,20.0,53.3,10,2.0
1498.07,262.0,2.76004,2.63246,20.0,55.3,10,4.0
1498.07,262.0,13.6694,2.73446,20.0,57.3,10,6.0
1498.07,262.0,25.5244,2.72357,20.0,59.3,10,8.0
1811.1,172.47,4.42405,2.94778,20.0,53.3,11,2.0
1811.1,172.47,14.1418,2.96543,20.0,55.3,11,4.0
1811.1,172.47,29.6665,2.92931,20.0,57.3,11,6.0
1811.1,172.47,62.2504,3.0163,20.0,59.3,11,8.0
